Gene,Sample,IP2IN
LOC4800307,Hm_H4K20me3,1.69235
LOC4800307,Tm_H4K20me3,2.26884
LOC4800307,Hm_H3K9me2,1.53612
LOC4800307,Tm_H3K9me2,1.41804
LOC6896734,Hm_H3K9me2,1.4339
LOC6896734,Hm_H4K16AC,0.602928
LOC6896734,Tm_H4K16AC,1.24602
LOC6896734,Tm_H3K9me2,0.804764
LOC6896734,Hm_H4K20me3,1.32579
LOC6896734,Tm_H4K20me3,1.13897
LOC6896733,Hm_H3K9me2,0.653379
LOC6896733,Tm_H4K16AC,0.588527
LOC6896733,Tm_H3K9me2,1.18751
LOC6896733,Hm_H4K20me3,0.959959
LOC6896733,Hm_H4K16AC,0.2068
LOC6896733,Tm_H4K20me3,0.853862
LOC6896732,Hm_H3K9me2,2.20824
LOC6896732,Tm_H4K16AC,0.792992
LOC6896732,Hm_H4K20me3,1.19442
LOC6896732,Hm_H4K16AC,0.855032
LOC6896732,Tm_H4K20me3,0.77146
LOC6896732,Tm_H3K9me2,1.10933
LOC6896731,Hm_H3K9me2,0.628732
LOC6896731,Tm_H4K16AC,0.933152
LOC6896731,Hm_H4K16AC,0.450185
LOC6896731,Tm_H3K9me2,1.20162
LOC6896731,Hm_H4K20me3,0.996969
LOC6896731,Tm_H4K20me3,1.10359
LOC4803100,Hm_H3K9me2,1.03542
LOC4803100,Hm_H4K20me3,0.931407
LOC4803100,Tm_H3K9me2,0.71802
LOC4803100,Tm_H4K20me3,0.795833
LOC4803100,Tm_H4K16AC,1.17887
LOC4803100,Hm_H4K16AC,1.24907
LOC4817135,Tm_H4K16AC,1.20595
LOC4817135,Tm_H3K9me2,0.849414
LOC4817135,Hm_H3K9me2,0.792677
LOC4817135,Tm_H4K20me3,0.850895
LOC4817135,Hm_H4K20me3,0.798565
LOC4817135,Hm_H4K16AC,1.08099
LOC4817213,Tm_H4K16AC,0.722273
LOC4817213,Hm_H3K9me2,1.15637
LOC4817213,Hm_H4K16AC,2.26653
LOC4817213,Tm_H4K20me3,1.74337
LOC4817213,Hm_H4K20me3,1.4151
LOC4817213,Tm_H3K9me2,1.13154
LOC4805345,Tm_H3K9me2,0.797599
LOC4805345,Hm_H3K9me2,0.822983
LOC4805345,Tm_H4K16AC,1.39321
LOC4805345,Hm_H4K16AC,0.848374
LOC4805345,Hm_H4K20me3,0.685705
