Gene,M_carcass_FPKM,M_testis_FPKM,Testis2carcass
LOC4814239,1.511218956,14.46245324,9.570052447
LOC4814599,0.073568719,7.741146183,105.2219207
LOC4805707,0.668869137,2.13630078,3.193896185
LOC6898377,0.89630019,1.388901293,1.549593271
LOC4801426,238.3308882,54.87008547,0.2302265
LOC4815426,9.776594512,1.925501325,0.196950188
LOC4802214,0.197906033,0,5.05E-06
LOC4802210,5.251464801,0.211609308,0.040295475
LOC4802204,0.290278625,0.302958118,1.04368027
LOC4802207,0.081340871,2.984109892,36.6860369
LOC4805533,18.32080075,39.43818513,2.15264521
LOC4800662,1453.084785,21.77006026,0.014981962
LOC4800410,2160.627474,6.67329634,0.003088592
LOC4804832,7.332749639,11.94447306,1.628921349
LOC4813765,6.493258604,4.298079866,0.661929621
LOC6900362,14.26691869,0.12935614,0.009066928
LOC4801847,11.52165907,7.461249729,0.647584695
LOC4802338,12.70949587,9.601234719,0.755437907
LOC4805613,56.24344475,66.31153358,1.179009104
LOC4803340,311.6422076,8.946697418,0.028708237
LOC4804286,2.868937268,74.98909322,26.13827389
LOC4813682,0.508981321,3.066590707,6.024947393
LOC4813925,0.009562624,1.839040083,192.2954168
LOC26533307,146.2625468,5.746654894,0.039290003
LOC4801087,0.348889863,875.7835667,2510.193472
LOC6897037,0.398333776,807.5164695,2027.23066
LOC4801502,2467.586689,734.452679,0.297640072
LOC6901440,0.132393765,7.038412526,53.162325
LOC4815220,1.156783944,1.683881743,1.455657554
LOC6903540,1.988613793,3.71740092,1.869342385
LOC4803637,0.706013325,1.173023272,1.661473756
LOC4814117,1.568627286,1.248786895,0.796101859
LOC6900805,1.790666106,8.045722092,4.493142844
LOC4801347,0.64097781,7.806727519,12.17938627
LOC4802840,1.00282591,2.689080563,2.6815012
LOC4812434,5.497197843,2.763966964,0.502795704
LOC4811815,15.7829646,3.803332313,0.240977102
LOC4814578,5.4829986,0.264375611,0.048217514
LOC4800574,2.192466258,1.623926838,0.740685104
LOC4801966,0.236249011,29.45988294,124.6979156
LOC4812515,0.022073836,6.45609045,292.4638524
LOC4803479,177.6966375,3.417667943,0.019233166
LOC4817791,2.764538156,1.549547438,0.560508769
LOC4803030,3.237833966,5.453381891,1.68426833
LOC4817777,16.80250183,0.506708012,0.030156758
LOC4801297,14.42680435,1.149857418,0.079702913
LOC4817001,216.5079699,0.005057112,2.34E-05
LOC4817656,244.3774747,0.474871495,0.001943193
LOC4800645,0.895329082,0.153059385,0.170954141
LOC4812124,2.668059266,0.133162132,0.049910092
LOC4814315,1.588085353,1.30897564,0.824247773
LOC4801010,0.023932935,2.886851633,120.6175507
LOC4817901,23.44665078,24.23303178,1.03353916
LOC4817151,6.874541388,0.451532495,0.065681971
LOC4816519,1.650495702,4.412274071,2.673301356
LOC4802512,0.731566873,1.974646062,2.699198716
LOC4804283,13.92658208,27.66368221,1.986394154
LOC4803716,0.011706694,18.04849321,1541.592633
LOC4803277,4.427980703,0.127314311,0.028752447
LOC4802624,0.066115285,0.130877686,1.979522686
LOC4818069,15.08843597,4.440551257,0.294301674
LOC6901339,0.217228544,1.911275824,8.798420275
LOC6901544,2.025017864,0.483061396,0.238547109
LOC4812378,4.787469482,5.08491284,1.062129544
LOC4813219,7.393544566,2.504698427,0.338768376
LOC4804150,3.379801425,5.781371728,1.710565294
LOC4817814,0.604683278,1.025733628,1.696314366
LOC4815912,3.563959491,0.857517396,0.240608278
LOC4815432,4.460794617,2.005028676,0.449478041
LOC6898210,9.750155786,8.34739555,0.856129469
LOC4801820,0.32877517,0.245587637,0.746978217
